route_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,service_id
ASC_4560585,140aaf18-60ff-49bb-a539-fc008936171b,King Historic District,,0,302,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,141f24fe-9b1d-4eb5-a05d-38724c833516,King Historic District,,0,201,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,14b39570-517e-432b-8b9f-dcc2e596fd8f,King Historic District,,0,101,9094281e-3c28-4b1a-884c-590249013139,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,14e74084-2feb-422c-9013-d464673384d7,King Historic District,,0,102,9094281e-3c28-4b1a-884c-590249013139,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,15f53316-b26c-4514-9f69-ccbac23a523c,King Historic District,,0,301,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,16d74e2e-7500-4da2-9682-a3722371c8c8,King Historic District,,0,101,9094281e-3c28-4b1a-884c-590249013139,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,174e2920-eefb-4dc0-afcf-5fc32deb21d7,King Historic District,,0,302,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,177cd99a-34c5-4fc2-b089-b970e5c781a3,King Historic District,,0,202,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,1845c5fc-1ffa-4736-92f0-78977cd94e22,Centennial Olympic Park,,1,101,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,184e8d51-081e-4277-aec7-74741395a97a,Centennial Olympic Park,,1,402,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,186908de-4cd3-4828-a9b9-324fc468cc20,King Historic District,,0,301,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,18e18aa5-7e85-4d90-946e-60be0307b040,King Historic District,,0,302,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,1905abc2-2df8-46ed-959b-2f0184df44d4,Centennial Olympic Park,,1,401,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,1905ad2f-2433-4b12-8d9e-1348b50d8d1d,King Historic District,,0,402,9094281e-3c28-4b1a-884c-590249013139,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,199604cd-9dfc-4970-9f7c-a1ca1177caa1,Centennial Olympic Park,,1,102,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,19c2dcec-86f1-4ea5-8a11-bf4446afb96a,Centennial Olympic Park,,1,202,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,1a7f2257-3ea7-4c54-b8c4-51c1bf20e122,King Historic District,,0,201,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,1aabaa64-8d0b-47bd-9a26-85826766d181,King Historic District,,0,301,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,1ad449d6-ad85-461b-938c-9d45ac9c186a,King Historic District,,0,401,9094281e-3c28-4b1a-884c-590249013139,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,1ba84aae-e3e0-476c-9409-1adcfe00e217,Centennial Olympic Park,,1,202,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,1c0ce498-132c-4925-b2c0-0af437093e81,Centennial Olympic Park,,1,402,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,1c232403-3f30-42b4-86e2-a7eecd47c48d,King Historic District,,0,202,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,1c3643ac-8436-4592-8319-22ef0c256590,Centennial Olympic Park,,1,202,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,1cbc7f32-ec6a-48b5-819e-fbc255bd27b6,King Historic District,,0,302,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,1dbc5b20-854a-41a1-b031-48a01050bb75,King Historic District,,0,201,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,1e1da85f-af42-41a6-92d6-729c5a0ec90f,Centennial Olympic Park,,1,101,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,1e87a01c-8527-4e2c-ba0b-eeba14909467,Centennial Olympic Park,,1,202,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,1ec2a0b1-1fe2-4aa4-8ac4-f58ff7678599,Centennial Olympic Park,,1,102,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,1f23a07d-a779-45ed-b337-d04ae5c3e108,King Historic District,,0,301,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,1f34c8fc-a7dd-4a7a-9092-da2ad6cb8c8d,King Historic District,,0,102,9094281e-3c28-4b1a-884c-590249013139,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,1f4b64a9-daaf-4b74-8b3f-776935951088,Centennial Olympic Park,,1,101,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,1f6ea2d8-1f39-41c7-a34b-2df595e76016,Centennial Olympic Park,,1,401,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,2093de57-14f8-4803-acfa-0cdd24717b6f,King Historic District,,0,302,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,20a7052a-39b8-4530-a886-aca7ca4b0a20,King Historic District,,0,402,9094281e-3c28-4b1a-884c-590249013139,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,20aec5df-8ec8-4361-b31b-5d6b32151507,Centennial Olympic Park,,1,301,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,20d3f5f1-8cac-4aa4-961e-4f666263cbab,Centennial Olympic Park,,1,302,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,20dd9e21-dabe-4295-8721-4ada7b48fe98,King Historic District,,0,301,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,20e08ad7-e0a3-4dd7-bc39-8f2b7b2ce8a3,Centennial Olympic Park,,1,102,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,21429543-173b-4866-91df-1b44ca29d14c,King Historic District,,0,101,9094281e-3c28-4b1a-884c-590249013139,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,21556ab3-b650-4a91-894e-01b0029d2619,King Historic District,,0,102,9094281e-3c28-4b1a-884c-590249013139,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,21998418-6e9a-4c70-b5d6-c577f45eb114,King Historic District,,0,202,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,2259f922-3d04-457f-838d-cdbe6b176bb1,Centennial Olympic Park,,1,301,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,2297946f-5d94-4042-baf5-973a7ec0bdfd,King Historic District,,0,401,9094281e-3c28-4b1a-884c-590249013139,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,22e99afb-a8b1-4b6a-9f81-6b9cc4c457bc,King Historic District,,0,302,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,2333d583-10c3-4abf-be8e-652e86535460,Centennial Olympic Park,,1,302,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,23634d6c-616b-4718-89a1-315161eb921e,King Historic District,,0,101,9094281e-3c28-4b1a-884c-590249013139,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,237537b2-30e9-41ef-8369-cb60532e2b0a,Centennial Olympic Park,,1,101,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,239cc942-a8ec-459f-bb53-4d933e28e1d7,Centennial Olympic Park,,1,102,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,2411fb1c-5896-4eed-b1c1-614bee8d7b24,King Historic District,,0,201,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,2421c2f9-e163-499d-b93a-dfa86ce11cf2,Centennial Olympic Park,,1,202,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,24508270-53c8-44d3-8d19-7e82c4ff200a,King Historic District,,0,202,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,2498b4d6-0794-4446-b7d6-a8bd1a979b2d,Centennial Olympic Park,,1,101,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,251a8393-4ee9-4d9f-9b6e-3ea07fcc8dcb,King Historic District,,0,201,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,25e07078-04d2-4e6d-b858-43ca762c68e9,King Historic District,,0,202,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,26301c0c-f1d5-4537-9958-000414b645ef,Centennial Olympic Park,,1,301,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,26ae227d-40b7-47a5-bec6-6b04a4bc10a1,King Historic District,,0,201,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,26cb2577-7391-474a-9e93-cacbe10cc833,King Historic District,,0,301,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,270f808f-b9d8-4ebd-9685-91a3a57ecac0,Centennial Olympic Park,,1,202,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,2784396c-5f96-4e21-92b5-599bf1b9d572,Centennial Olympic Park,,1,102,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,286dd5e3-5c84-4af9-8a7b-f2c1a7766d92,King Historic District,,0,302,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,28a210d2-99d5-47e2-b534-8a26cd6548d4,King Historic District,,0,202,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,29655667-1b9e-4a60-927d-584fa9feb8e0,Centennial Olympic Park,,1,201,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,2985351b-24aa-421f-bd08-ea4670f69703,King Historic District,,0,201,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,29a66448-9afd-4fb0-bd51-e533176ea733,King Historic District,,0,301,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,2abab5e3-5bbd-4cf3-9ed5-f2be9327a230,Centennial Olympic Park,,1,302,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,2b449c3e-47e8-4259-b0fc-7706f3c9117c,Centennial Olympic Park,,1,201,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,2b962cad-e520-4e83-829a-984f1f9e09cc,King Historic District,,0,302,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,2bf84a92-0977-4e38-8977-613e025d23d9,King Historic District,,0,301,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,2bf868af-a126-4173-9e0f-dc7e94bda4c4,Centennial Olympic Park,,1,101,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,2c10391e-199f-4c7a-830c-3e816beaaeff,Centennial Olympic Park,,1,102,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,2c20aa9f-6321-4fda-9098-ee8dd6bb3e7b,Centennial Olympic Park,,1,402,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,2c27964d-6840-476e-ac5a-02d5b7fb2dfb,King Historic District,,0,302,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,2c74934a-cb3a-4baa-b4b4-7ba9ceeba864,Centennial Olympic Park,,1,301,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,2c75ca63-c0ee-48cc-b010-dee826168c57,King Historic District,,0,102,9094281e-3c28-4b1a-884c-590249013139,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
ASC_4560585,2c903872-2eb6-4e05-8d0e-cff460becb6a,King Historic District,,0,301,9094281e-3c28-4b1a-884c-590249013139,0,1,c47be74b-3efd-4677-b99b-aa529fc84faa
ASC_4560585,2d037bc8-57e5-4bfd-a920-1e379794751b,Centennial Olympic Park,,1,401,a318d260-2f2e-4206-90f0-dd780c9eac11,0,1,bc5f6c7b-b0b2-4af7-9a70-63edb6704415
ASC_4560585,2d755283-a5bd-42b3-8a8d-c5e3b3ed5dff,King Historic District,,0,202,9094281e-3c28-4b1a-884c-590249013139,0,1,2cb418db-7850-4e4b-ad8e-688af0fd0193
ASC_4560585,2daf09e5-2232-4919-92d0-498eb6339848,King Historic District,,0,101,9094281e-3c28-4b1a-884c-590249013139,0,1,e3037c28-7b59-4724-9aba-3a760b65a4a3
